Model,ROUGE-1,ROUGE-2,ROUGE-L,AvgTimeSec,Params(M),TOPSIS_Score,Rank
google/pegasus-xsum,0.4753648910503253,0.2639255404970376,0.4015608878892043,0.5933710670471192,766.567424,0.8839851996724128,1
sshleifer/distilbart-cnn-12-6,0.1989414399945839,0.0371496993020104,0.1313487032576949,0.8302795934677124,408.451072,0.137614549135833,2
t5-base,0.200375553656413,0.0321399183716149,0.1406467882782188,1.3662674474716183,222.903552,0.12028141258447983,3
facebook/bart-large-cnn,0.192064388256053,0.0344566040948636,0.1223442136393003,1.1244471168518066,406.290432,0.09535639429688438,4
